texto,review_score,sentimento
Recebi bem antes do prazo estipulado.,5,positivo
Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,5,positivo
recomendo aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,4,positivo
"Mas um pouco ,travando...pelo valor ta Boa.",4,positivo
"Super recomendo Vendedor confiável, produto ok e entrega antes do prazo.",5,positivo
"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2,negativo
Não chegou meu produto  Péssimo,1,negativo
Ótimo Loja nota 10,5,positivo
obrigado pela atençao amim dispensada,5,positivo
"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",5,positivo
relógio muito bonito e barato.,5,positivo
Não gostei ! Comprei gato por lebre,1,negativo
"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",1,negativo
"Muito bom. Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",4,positivo
"Bom Recomendo ,",5,positivo
muito boa,5,positivo
"Maravilhoso! Tô completamente apaixonada, loja super responsável e confiável!",5,positivo
Nada de chegar o meu pedido.,1,negativo
Entrega perfeita Muito bom. muito cheiroso.,5,positivo
"otimo vendedor chegou ate antes do prazo , adorei o produto",5,positivo
Processo de compra tranquilo e eficiente.,5,positivo
Tomara q dure pois é de pelinho.,5,positivo
"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",1,negativo
Ótimo,5,positivo
boa,5,positivo
MT lindo MT lindo,5,positivo
"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita",5,positivo
"Amei achei lindo ,muito delicado adorei",5,positivo
"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",4,positivo
Ótimo Produto!  Recomendo o vendedor...,5,positivo
"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia.",1,negativo
"Produto entregue como solicitado, e com muita brevidade. Parabéns!",5,positivo
Eu comprei duas unidades e só recebi uma e agora o que faço?,3,neutro
"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",3,neutro
"Produto muito inferior, mal acabado.",1,negativo
RECOMENDO SEMPRE!! O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,5,positivo
